Code	Name	Currency	Market cap (m)	Price	Change	Change %
HLMA	HALMA PLC ORD 10P	GBX	9,426.59	2,479.00	-4.00	-0.16%
BT.A	BT GROUP PLC ORD 5P	GBX	12,158.32	122.40	-0.20	-0.16%
ASCL	ASCENTIAL PLC ORD 1P	GBX	1,467.11	363.60	-0.60	-0.17%
3IN	3I INFRASTRUCTURE PLC ORD NPV	GBX	2,643.10	296.00	-0.50	-0.17%
BYG	BIG YELLOW GROUP PLC ORD 10P	GBX	2,006.23	1,139.00	-2.00	-0.18%
MYI	MURRAY INTERNATIONAL TRUST PLC ORD 25P	GBX	1,450.96	1,128.00	-2.00	-0.18%
NXT	NEXT PLC ORD 10P	GBX	10,473.74	7,864.00	-14.00	-0.18%
SEQI	SEQUOIA ECONOMIC INFRASTRUCTURE INC ORD NPV	GBX	1,842.85	111.00	-0.20	-0.18%
DLN	DERWENT LONDON PLC ORD 5P	GBX	3,562.61	3,176.00	-6.00	-0.19%
TEM	TEMPLETON EMERGING MARKETS IT PLC ORD 25P	GBX	2,485.31	1,050.00	-2.00	-0.19%
GRG	GREGGS PLC ORD 2P	GBX	2,092.32	2,058.00	-4.00	-0.19%
CTEC	CONVATEC GROUP PLC ORD 10P	GBX	4,024.73	200.40	-0.40	-0.20%
HVPE	HARBOURVEST GLOBAL PRIVATE EQUITY L ORD NPV	GBX	1,562.11	1,952.00	-4.00	-0.20%
PFD	PREMIER FOODS PLC ORD 10P	GBX	799.55	93.60	-0.20	-0.21%
BIFF	BIFFA PLC ORD GBP0.01	GBX	715.60	234.00	-0.50	-0.21%
STJ	ST.JAMES'S PLACE PLC ORD 15P	GBX	6,299.55	1,168.00	-2.50	-0.21%
AGT	AVI GLOBAL TRUST PLC ORD 10P	GBX	961.30	914.00	-2.00	-0.22%
ACI	ALTERNATIVE CREDIT INVESTMENTS PLC ORD GBP0.01	GBX	639.17	868.00	-2.00	-0.23%
UDG	UDG HEALTHCARE PLC ORD EUR0.05	GBX	2,043.41	810.00	-2.00	-0.25%
BBH	BB HEALTHCARE TRUST PLC RED ORD 1P	GBX	964.26	192.50	-0.50	-0.26%
CEY	CENTAMIN PLC ORD NPV (DI)	GBX	1,307.96	112.85	-0.30	-0.27%
POLY	POLYMETAL INTERNATIONAL PLC ORD NPV	GBX	7,723.66	1,632.50	-4.50	-0.28%
SPX	SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P	GBX	8,531.36	11,535.00	-35.00	-0.30%
CRDA	CRODA INTERNATIONAL PLC ORD 10.609756P	GBX	9,026.86	6,450.00	-20.00	-0.31%
LSEG	LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P	GBX	44,705.06	9,608.00	-30.00	-0.31%
AV.	AVIVA PLC ORD 25P	GBX	13,479.26	342.00	-1.10	-0.32%
ENT	ENTAIN PLC ORD EUR0.01	GBX	7,713.34	1,313.50	-4.50	-0.34%
CCC	COMPUTACENTER PLC ORD 7 5/9P	GBX	2,659.49	2,322.00	-8.00	-0.34%
SMWH	WH SMITH PLC ORD 22 6/67P	GBX	2,231.50	1,699.00	-6.00	-0.35%
LLOY	LLOYDS BANKING GROUP PLC ORD 10P	GBX	26,710.21	37.57	-0.14	-0.36%
BGFD	BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P	GBX	1,031.61	1,112.00	-4.00	-0.36%
BBY	BALFOUR BEATTY PLC ORD 50P	GBX	1,872.15	272.00	-1.00	-0.37%
FDM	FDM GROUP (HOLDINGS) PLC ORD 1P	GBX	1,153.06	1,052.00	-4.00	-0.38%
SYNC	SYNCONA LIMITED ORD NPV	GBX	1,727.91	259.00	-1.00	-0.39%
NESF	NEXTENERGY SOLAR FUND LIMITED RED ORD NPV	GBX	609.09	103.40	-0.40	-0.39%
WPP	WPP PLC ORD 10P	GBX	9,974.20	810.80	-3.20	-0.39%
HMSO	HAMMERSON PLC ORD 5P	GBX	928.72	22.80	-0.09	-0.39%
IHG	INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P	GBX	9,180.31	5,006.00	-20.00	-0.40%
